root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:58:17.651374 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13532:13760, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 228
15:58:17.651408 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13760:13796, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.651454 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 13796:14016, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 220
15:58:17.651496 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14016:14052, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.651548 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14052:14280, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 228
15:58:17.651583 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14280:14316, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.651633 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14316:14536, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 220
15:58:17.651666 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14536:14572, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.651704 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14572:14800, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 228
15:58:17.651737 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14800:14836, ack 1, win 501, options [nop,nop,TS val 834033630 ecr 2631074001], length 36
15:58:17.651793 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14836:15056, ack 1, win 501, options [nop,nop,TS val 834033631 ecr 2631074001], length 220
15:58:17.651830 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 15056:15092, ack 1, win 501, options [nop,nop,TS val 834033631 ecr 2631074001], length 36
15:58:17.651883 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 15092:15320, ack 1, win 501, options [nop,nop,TS val 834033631 ecr 2631074001], length 228
15:58:17.651922 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 15320:15356, ack 1, win 501, options [nop,nop,TS val 834033631 ecr 2631074001], length 36
