root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 src 159.203.26.59
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
16:01:41.067468 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14668:14704, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.067535 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14704:14924, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 220
16:01:41.067564 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14924:14960, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.067896 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 14960:15188, ack 1, win 501, options [nop,nop,TS val 834237047 ecr 2631277445], length 228
16:01:41.067939 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 15188:15224, ack 1, win 501, options [nop,nop,TS val 834237047 ecr 2631277445], length 36
16:01:41.068000 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 15224:15444, ack 1, win 501, options [nop,nop,TS val 834237047 ecr 2631277445], length 220
16:01:41.068367 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 15444:16528, ack 1, win 501, options [nop,nop,TS val 834237047 ecr 2631277445], length 1084
16:01:41.169081 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 16528:16756, ack 1, win 501, options [nop,nop,TS val 834237148 ecr 2631277524], length 228
16:01:41.169150 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 16756:16792, ack 1, win 501, options [nop,nop,TS val 834237148 ecr 2631277524], length 36
16:01:41.169196 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 16792:17012, ack 1, win 501, options [nop,nop,TS val 834237148 ecr 2631277524], length 220
16:01:41.169224 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 17012:17048, ack 1, win 501, options [nop,nop,TS val 834237148 ecr 2631277524], length 36
16:01:41.169262 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 17048:17276, ack 1, win 501, options [nop,nop,TS val 834237148 ecr 2631277524], length 228
16:01:41.169288 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 17276:17312, ack 1, win 501, options [nop,nop,TS val 834237148 ecr 2631277524], length 36
